model,rmse,mae,mse,r2
CNN_BILSTM,5.36542936779709,4.165806525857108,28.787832300819485,0.5501607151659491
LIGHTGBM,6.1722028765672805,4.982353379610886,38.096088349505415,0.4047097065509687
LSTM,8.558049290789896,6.478880352674213,73.24020766358943,-0.14445305545108988
NBEATS,9.080090899622142,7.9164111488887245,82.44805074540083,-0.28833500889252006
PROPHET,9.296698072425393,7.883898840321736,86.42859504983801,-0.3505350795490141
ARIMA,10.631862668013746,8.658939237870445,113.03650379150436,-0.7663108321033374
